A=4306 B=7202 C=9316 X=138867150 Y=6109396426 Z=53398749508 M=121
A=2035 B=5233 C=6877 X=549447548 Y=7708397666 Z=95016205249 M=118
A=3059 B=7359 C=8303 X=856724558 Y=5951891714 Z=41903953701 M=63
A=2875 B=5008 C=7375 X=599822829 Y=7454850977 Z=92469427013 M=152
A=4827 B=3113 C=8370 X=193858397 Y=4091058071 Z=94073670089 M=136
A=2228 B=3146 C=5595 X=443874862 Y=7993849274 Z=73469856767 M=87
A=3856 B=5312 C=6425 X=142791961 Y=7550026159 Z=20988871754 M=120
A=4725 B=7748 C=9588 X=514019777 Y=4714903217 Z=99471203123 M=189
A=5316 B=7146 C=5494 X=438237574 Y=2013692326 Z=61443665582 M=196
A=7275 B=9456 C=9743 X=289260157 Y=9162997396 Z=26233465817 M=68
A=6472 B=3176 C=6207 X=380890642 Y=4892034972 Z=27327906268 M=188
A=7549 B=8853 C=5728 X=126929161 Y=7553955410 Z=13161363138 M=111
A=5164 B=3080 C=9515 X=598070337 Y=1275685903 Z=79054307491 M=86
A=8986 B=7893 C=8131 X=151013354 Y=1253404954 Z=45446684374 M=113
A=5423 B=8141 C=5577 X=722133068 Y=2595995978 Z=32066559022 M=158
A=7786 B=7824 C=7407 X=390457371 Y=2015385522 Z=46994172529 M=155
A=9095 B=3714 C=9828 X=313891840 Y=1045415556 Z=89168234771 M=68
A=4894 B=3535 C=7339 X=549997474 Y=6946111858 Z=46344126457 M=168
A=5581 B=3670 C=8248 X=907452687 Y=3665590210 Z=38315505585 M=198
A=7761 B=3625 C=9037 X=222920785 Y=8864237168 Z=85173414074 M=169
A=3891 B=4074 C=8643 X=706882276 Y=8524641081 Z=48241870090 M=139
A=7535 B=6361 C=8988 X=973870618 Y=4289788816 Z=53976150414 M=62
A=7605 B=4367 C=9058 X=197221875 Y=9439060071 Z=19954803338 M=185
A=4668 B=4438 C=5037 X=736661035 Y=1231203047 Z=52415461918 M=181
A=8030 B=9544 C=5478 X=547436077 Y=7364917872 Z=54162864675 M=87
A=9460 B=6487 C=9727 X=965506379 Y=9996463749 Z=25475262700 M=181
A=8989 B=4548 C=8881 X=890568966 Y=8105075147 Z=82366604254 M=182
A=3507 B=7384 C=8573 X=679335230 Y=7746683284 Z=71619869615 M=50
A=7782 B=3204 C=9331 X=632093703 Y=1096988177 Z=43222657040 M=135
A=4459 B=4765 C=7488 X=633903146 Y=3480880514 Z=51424008590 M=122
A=7900 B=9033 C=7961 X=790601683 Y=4230091473 Z=39291699866 M=158
A=4511 B=5726 C=7083 X=161145377 Y=3546630911 Z=12213994074 M=173
A=5173 B=8252 C=5340 X=456867335 Y=8506975598 Z=60381417448 M=184
A=7842 B=6958 C=5491 X=262292325 Y=4960408703 Z=94174023114 M=193
A=9354 B=8388 C=6711 X=124497614 Y=3265345024 Z=20688636663 M=116
A=3745 B=5087 C=7572 X=709560627 Y=1882575405 Z=74057376964 M=109
A=3146 B=9414 C=9415 X=586100692 Y=8502902442 Z=21848883551 M=52
